avg(rating),count(rating),movieId
3.88665,68469,1
3.24658,27143,2
3.17398,15585,3
2.87454,2989,4
3.07729,15474,5
3.84421,28683,6
3.37135,15301,7
3.12248,1539,8
3.00753,4449,9
3.43163,33086,10
3.66028,19669,11
2.66965,4524,12
3.33965,1952,13
3.42900,6838,14
2.73098,3154,15
3.80236,21165,16
3.95013,24552,17
3.41207,6255,18
2.64201,24913,19
2.89448,4658,20
3.56837,25699,21
3.30114,11136,22
3.15880,4871,23
3.17931,9191,24
3.66676,24841,25
3.61014,3028,26
3.42511,1876,27
4.03636,3424,28
3.91879,10024,29
3.63666,1361,30
3.23759,11802,31
3.89019,54846,32
3.05556,72,33
3.61383,35903,34
3.49873,1572,35
3.92876,23955,36
2.96067,89,37
2.91292,712,38
3.41629,29422,39
3.64815,945,40
3.84986,5082,41
3.04828,2620,42
3.46625,2667,43
2.63185,13098,44
3.37272,9719,45
3.26860,3334,46
4.07169,55240,47
2.96317,16358,48
3.56716,268,49
4.29196,62180,50
2.60000,35,51
3.53289,10398,52
3.69565,161,53
2.84868,1064,54
3.22546,978,55
2.06024,83,56
3.32233,2530,57
3.96411,13388,58
3.60488,205,59
3.07124,7601,60
3.33631,2465,61
3.74671,23359,62
3.12154,2744,63
2.83782,2192,64
2.39909,5837,65
2.16087,2586,66
3.35227,176,67
3.45410,1318,68
3.55089,5217,69
3.31547,15821,70
2.35432,1366,71
3.48463,1334,72
3.79438,3436,73
3.29768,3833,74
2.45108,603,75
3.01865,3726,76
3.44105,229,77
3.17017,1284,78
3.16046,6341,79
3.72803,603,80
3.26848,3449,81
4.01285,2724,82
3.64911,617,83
3.38024,167,84
3.53899,2834,85
3.48676,4606,86
2.41052,1112,87
3.12722,5907,88
3.13356,3489,89
3.33850,226,90
2.85195,2462,92
2.51099,2183,93
3.53171,4383,94
3.10955,25847,95
3.69066,514,96
3.98771,2848,97
2.65385,91,98
3.10858,769,99
3.23062,4451,100
3.77327,4953,101
2.42717,2142,102
3.27047,1209,103
3.39428,22247,104
3.32878,11284,105
3.40714,140,106
3.19620,8122,107
3.03676,136,108
2.33333,18,109
4.00848,68803,110
4.08642,32885,111
3.39841,13417,112
3.12522,1158,113
3.62891,256,114
3.39423,52,115
3.91491,1046,116
3.58790,1314,117
3.01147,1177,118
2.79596,272,119
2.88393,168,120
3.73577,861,121
2.86203,4095,122
3.98831,2866,123
3.49123,342,124
3.73974,3679,125
